0.78321546#MBR(13790 9920,13790 10246,14710 10246,14710 9920,13790 9920)#57
0.7519122#MBR(13588 8322,13588 9256,14084 9256,14084 8322,13588 8322)#57
0.74719566#MBR(14074 7130,14074 7687,15020 7687,15020 7130,14074 7130)#56
0.7485788#MBR(11514 7207,11514 7678,12350 7678,12350 7207,11514 7207)#57
0.71853673#MBR(11515 6967,11515 7365,12162 7365,12162 6967,11515 6967)#53
0.74540645#MBR(11525 5117,11525 6387,12797 6387,12797 5117,11525 5117)#57
0.7002639#MBR(10940 5190,10940 6090,11498 6090,11498 5190,10940 5190)#59
0.7178269#MBR(10558 5127,10558 5751,11200 5751,11200 5127,10558 5127)#62
0.76105016#MBR(10241 6394,10241 7039,10886 7039,10886 6394,10241 6394)#53
0.7590848#MBR(10631 6413,10631 6868,11509 6868,11509 6413,10631 6413)#63
0.74217844#MBR(10896 7030,10896 7682,11526 7682,11526 7030,10896 7030)#68
0.7950577#MBR(10241 8979,10241 9593,11166 9593,11166 8979,10241 8979)#54
0.7881449#MBR(10879 10552,10879 11520,11523 11520,11523 10552,10879 10552)#78
0.80414224#MBR(11563 10249,11563 10868,12797 10868,12797 10249,11563 10249)#83
0.72708076#MBR(12164 10557,12164 11194,12806 11194,12806 10557,12164 10557)#56
0.7883054#MBR(11625 10879,11625 11526,12238 11526,12238 10879,11625 10879)#61
0.81467354#MBR(11528 11363,11528 12160,12082 12160,12082 11363,11528 11363)#53
0.78526914#MBR(11852 11519,11852 12120,12539 12120,12539 11519,11852 11519)#56
0.7497703#MBR(12164 11847,12164 12479,12803 12479,12803 11847,12164 11847)#54
0.79378045#MBR(11524 12162,11524 12788,12160 12788,12160 12162,11524 12162)#58
0.79827434#MBR(11984 14743,11984 15367,12798 15367,12798 14743,11984 14743)#68
0.7847532#MBR(12180 14095,12180 15022,12785 15022,12785 14095,12180 14095)#77
0.783914#MBR(11518 12787,11518 13427,12488 13427,12488 12787,11518 12787)#89
0.82933486#MBR(13488 14394,13488 15360,14077 15360,14077 14394,13488 14394)#53
0.79564315#MBR(14726 14116,14726 14716,15250 14716,15250 14116,14726 14116)#54
0.803407#MBR(14494 13437,14494 14077,15217 14077,15217 13437,14494 13437)#69
